2025-04-03 00:52:38.977 | DEBUG    | __main__:_run_pandoc_conversion:221 - Running Pandoc: pandoc /tmp/mineru_AnyHedge Whitepaper_ubdlz6dk/temp_full.md -o /home/pimania/ebooks/epubArticles/AnyHedge Whitepaper.epub --webtex=https://latex.codecogs.com/svg.latex? -f markdown_github+tex_math_single_backslash+tex_math_dollars --embed-resources --standalone --resource-path /tmp/mineru_AnyHedge Whitepaper_ubdlz6dk/extracted --split-level=1 --epub-title-page=false
2025-04-03 00:52:40.498 | DEBUG    | __main__:_mineru_upload_file:151 - Successfully uploaded Panoptic the perpetual oracle-free options proto.pdf via pre-signed URL
2025-04-03 00:52:40.499 | DEBUG    | __main__:_mineru_poll_for_zip_url:165 - Polling Mineru task status for batch 5e6b1f10-b301-41f5-886e-fa1647f7a1c1 (Panoptic the perpetual oracle-free options proto.pdf)
2025-04-03 00:52:41.506 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 5e6b1f10-b301-41f5-886e-fa1647f7a1c1 (attempt 1/25): state=pending
2025-04-03 00:52:45.905 | WARNING  | __main__:_run_pandoc_conversion:230 - Pandoc stderr (warnings) for AnyHedge Whitepaper.epub: [WARNING] Deprecated: markdown_github. Use gfm instead.
[WARNING] This document format requires a nonempty <title> element.
  Defaulting to 'temp_full' as the title.
  To specify a title, use 'title' in metadata or --metadata title="...".
2025-04-03 00:52:45.906 | DEBUG    | __main__:_run_pandoc_conversion:233 - Pandoc conversion successful for AnyHedge Whitepaper.epub
2025-04-03 00:52:45.906 | INFO     | __main__:_run_pdf_to_epub_conversion:273 - Successfully converted AnyHedge Whitepaper.pdf -> AnyHedge Whitepaper.epub
2025-04-03 00:52:45.907 | INFO     | __main__:_run_pdf_to_epub_conversion:266 - Starting conversion: vega-protocol-whitepaper.pdf -> vega-protocol-whitepaper.epub
2025-04-03 00:52:45.907 | DEBUG    | __main__:_mineru_get_upload_info:118 - Requesting upload info for vega-protocol-whitepaper.pdf
2025-04-03 00:52:46.980 | DEBUG    | __main__:_mineru_get_upload_info:129 - Obtained batch_id: 410b6afb-576a-454b-a86c-956ed458e665 for vega-protocol-whitepaper.pdf
2025-04-03 00:52:46.980 | DEBUG    | __main__:_mineru_upload_file:135 - Uploading vega-protocol-whitepaper.pdf to Mineru pre-signed URL...
2025-04-03 00:52:48.475 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 2f4193ec-38bb-4ad4-ae99-86989e892ebc (attempt 5/25): state=running
2025-04-03 00:52:49.550 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 2981ea60-96e2-4540-9fa6-1db5f2fc2848 (attempt 5/25): state=running
2025-04-03 00:52:51.244 | DEBUG    | __main__:_mineru_upload_file:151 - Successfully uploaded vega-protocol-whitepaper.pdf via pre-signed URL
2025-04-03 00:52:51.244 | DEBUG    | __main__:_mineru_poll_for_zip_url:165 - Polling Mineru task status for batch 410b6afb-576a-454b-a86c-956ed458e665 (vega-protocol-whitepaper.pdf)
2025-04-03 00:52:51.838 | WARNING  | __main__:_run_pandoc_conversion:230 - Pandoc stderr (warnings) for LAMMbert.epub: [WARNING] Deprecated: markdown_github. Use gfm instead.
[WARNING] This document format requires a nonempty <title> element.
  Defaulting to 'temp_full' as the title.
  To specify a title, use 'title' in metadata or --metadata title="...".
2025-04-03 00:52:51.838 | DEBUG    | __main__:_run_pandoc_conversion:233 - Pandoc conversion successful for LAMMbert.epub
2025-04-03 00:52:51.838 | INFO     | __main__:_run_pdf_to_epub_conversion:273 - Successfully converted LAMMbert.pdf -> LAMMbert.epub
2025-04-03 00:52:52.201 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 410b6afb-576a-454b-a86c-956ed458e665 (attempt 1/25): state=waiting-file
2025-04-03 00:52:54.720 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 5e6b1f10-b301-41f5-886e-fa1647f7a1c1 (attempt 2/25): state=running
2025-04-03 00:53:01.633 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 2f4193ec-38bb-4ad4-ae99-86989e892ebc (attempt 6/25): state=running
2025-04-03 00:53:02.632 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 2981ea60-96e2-4540-9fa6-1db5f2fc2848 (attempt 6/25): state=done
2025-04-03 00:53:02.632 | INFO     | __main__:_mineru_poll_for_zip_url:181 - Mineru processing finished for batch 2981ea60-96e2-4540-9fa6-1db5f2fc2848
2025-04-03 00:53:02.633 | DEBUG    | __main__:_download_extract_and_convert:245 - Downloading result zip from https://cdn-mineru.openxlab.org.cn/pdf/0d8592d3-926a-4bde-b6a8-82f2dd7f8168.zip
2025-04-03 00:53:05.160 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 410b6afb-576a-454b-a86c-956ed458e665 (attempt 2/25): state=running
2025-04-03 00:53:07.658 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 5e6b1f10-b301-41f5-886e-fa1647f7a1c1 (attempt 3/25): state=running
2025-04-03 00:53:10.271 | DEBUG    | __main__:_download_extract_and_convert:252 - Extracting zip result.zip to /tmp/mineru_Drift dAMM deep dive_2i3l31io/extracted
2025-04-03 00:53:10.298 | DEBUG    | __main__:_run_pandoc_conversion:206 - Preparing Pandoc conversion for Drift dAMM deep dive.epub
2025-04-03 00:53:10.299 | DEBUG    | __main__:_run_pandoc_conversion:221 - Running Pandoc: pandoc /tmp/mineru_Drift dAMM deep dive_2i3l31io/temp_full.md -o /home/pimania/ebooks/epubArticles/Drift dAMM deep dive.epub --webtex=https://latex.codecogs.com/svg.latex? -f markdown_github+tex_math_single_backslash+tex_math_dollars --embed-resources --standalone --resource-path /tmp/mineru_Drift dAMM deep dive_2i3l31io/extracted --split-level=1 --epub-title-page=false
2025-04-03 00:53:14.602 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 2f4193ec-38bb-4ad4-ae99-86989e892ebc (attempt 7/25): state=running
2025-04-03 00:53:17.401 | WARNING  | __main__:_run_pandoc_conversion:230 - Pandoc stderr (warnings) for Drift dAMM deep dive.epub: [WARNING] Deprecated: markdown_github. Use gfm instead.
[WARNING] This document format requires a nonempty <title> element.
  Defaulting to 'temp_full' as the title.
  To specify a title, use 'title' in metadata or --metadata title="...".
2025-04-03 00:53:17.402 | DEBUG    | __main__:_run_pandoc_conversion:233 - Pandoc conversion successful for Drift dAMM deep dive.epub
2025-04-03 00:53:17.404 | INFO     | __main__:_run_pdf_to_epub_conversion:273 - Successfully converted Drift dAMM deep dive.pdf -> Drift dAMM deep dive.epub
2025-04-03 00:53:18.118 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 410b6afb-576a-454b-a86c-956ed458e665 (attempt 3/25): state=running
2025-04-03 00:53:20.830 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 5e6b1f10-b301-41f5-886e-fa1647f7a1c1 (attempt 4/25): state=done
2025-04-03 00:53:20.831 | INFO     | __main__:_mineru_poll_for_zip_url:181 - Mineru processing finished for batch 5e6b1f10-b301-41f5-886e-fa1647f7a1c1
2025-04-03 00:53:20.831 | DEBUG    | __main__:_download_extract_and_convert:245 - Downloading result zip from https://cdn-mineru.openxlab.org.cn/pdf/ff9c4c01-46e3-40ed-b4cb-99ef504dba58.zip
2025-04-03 00:53:27.531 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 2f4193ec-38bb-4ad4-ae99-86989e892ebc (attempt 8/25): state=done
2025-04-03 00:53:27.531 | INFO     | __main__:_mineru_poll_for_zip_url:181 - Mineru processing finished for batch 2f4193ec-38bb-4ad4-ae99-86989e892ebc
2025-04-03 00:53:27.532 | DEBUG    | __main__:_download_extract_and_convert:245 - Downloading result zip from https://cdn-mineru.openxlab.org.cn/pdf/550aac94-4a26-4e46-b20c-ef2030b70fd1.zip
2025-04-03 00:53:31.040 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 410b6afb-576a-454b-a86c-956ed458e665 (attempt 4/25): state=running
2025-04-03 00:53:33.606 | DEBUG    | __main__:_download_extract_and_convert:252 - Extracting zip result.zip to /tmp/mineru_Panoptic the perpetual oracle-free options proto_l_v8bc63/extracted
